,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
366,3.0,13.9,26.0,14.2,0.6799745,0.78183,0.5566666666666666,1544.0
374,4.7,10.0,23.9,15.8,0.5946725,0.73412,0.56,1554.0
380,13.0,15.2,32.1,18.0,0.8209709999999999,0.76417,0.5266666666666667,1487.0
388,0.3,17.8,26.4,12.7,0.547713,0.66853,0.45666666666666667,1551.0
393,5.6,10.0,22.3,13.9,0.5357314999999999,0.7008,0.6166666666666667,1498.0
400,0.8,11.7,16.0,5.5,0.6394225,0.74411,0.66,1654.0
403,0.7,14.7,25.7,14.1,0.47257550000000004,0.72188,0.6633333333333333,1512.0
406,5.3,14.9,26.8,13.7,0.6373485,0.73819,0.5666666666666667,1575.0
412,7.2,15.5,37.6,27.6,0.6086015,0.70494,0.5966666666666666,1479.0
419,3.8,15.2,23.6,10.5,0.596213,0.73226,0.6533333333333334,1626.0
426,58.5,11.7,58.8,39.8,0.6252880000000001,0.76272,0.5700000000000001,1293.0
434,2.3,12.0,30.5,21.6,0.560752,0.65648,0.5033333333333333,1527.0
437,27.9,18.4,63.9,55.2,0.685125,0.66693,0.55,1443.0
456,7.9,13.6,32.7,24.3,0.751627,0.7483,0.48000000000000004,1574.0
464,34.9,21.7,63.7,54.0,0.6553125,0.70158,0.6766666666666666,1182.0
472,1.2,17.9,26.8,13.6,0.73536,0.80964,0.4533333333333333,1568.0
476,60.9,10.3,51.2,37.2,,,0.6233333333333333,1439.0
478,14.4,11.6,16.3,4.9,0.643302,0.8075,0.6633333333333333,1866.0
488,0.8,22.3,48.2,39.2,0.662203,0.67378,0.47,1461.0
490,17.9,4.8,11.7,6.1,,,0.6433333333333333,1868.0
492,17.6,17.8,34.3,21.9,0.9883305,0.80003,0.43,1759.0
496,1.1,15.8,25.8,14.1,0.624017,0.68799,0.5333333333333333,1513.0
499,15.4,29.2,47.1,22.5,0.933491,0.77409,0.5399999999999999,1290.0
501,1.1,26.8,56.1,45.3,0.7273435,0.63407,0.45666666666666667,1395.0
505,8.6,19.8,38.1,25.2,0.6789845,0.60863,0.5133333333333333,1496.0
512,2.5,21.1,52.8,41.9,,,0.5266666666666667,1506.0
513,5.5,14.1,30.7,22.1,0.8726504999999999,0.71618,0.4033333333333333,1588.0
516,5.5,15.9,24.3,9.4,0.6574885,0.62286,0.5399999999999999,1564.0
517,0.7,9.8,19.2,10.0,0.9174315000000001,0.75378,0.58,1452.0
519,3.8,14.5,29.7,17.9,0.6285635,0.61779,0.5133333333333333,1521.0
523,7.0,25.4,42.0,22.7,1.0677165000000002,0.80551,0.5266666666666667,1297.0
524,11.2,17.9,44.6,29.4,,,0.6866666666666668,1535.0
525,12.1,27.2,70.8,56.2,,,0.5266666666666667,1200.0
526,33.0,20.2,75.0,61.1,,,0.48000000000000004,1060.0
